"genre","avg_energy","avg_danceability","total_songs"
"rock, easy listening","0.97","0.6","1"
"pop, easy listening, Dance/Electronic","0.97","0.67","1"
"country, latin","0.94","0.68","1"
"rock, Folk/Acoustic, easy listening","0.88","0.8","1"
"rock, pop, metal","0.87","0.49","4"
"rock, metal","0.87","0.54","38"
"hip hop, rock, pop","0.86","0.53","2"
"rock, Dance/Electronic","0.85","0.64","1"
"pop, rock, Folk/Acoustic","0.85","0.51","2"
"Folk/Acoustic, rock","0.85","0.41","1"
"World/Traditional, rock, pop","0.84","0.51","2"
"hip hop, pop, latin","0.82","0.71","14"
"hip hop, pop, Dance/Electronic","0.82","0.67","78"
"easy listening","0.82","0.42","1"
"rock","0.81","0.53","58"
"pop, latin","0.81","0.72","28"
"hip hop, pop, rock","0.8","0.72","9"
"World/Traditional, pop, Folk/Acoustic","0.78","0.67","2"
"Dance/Electronic","0.78","0.68","41"
"pop, rock, metal","0.77","0.47","14"
"pop, rock","0.77","0.59","26"
"rock, pop","0.76","0.54","43"
"pop, R&B, Dance/Electronic","0.76","0.79","6"
"pop, Dance/Electronic","0.76","0.65","221"
"pop, rock, Dance/Electronic","0.75","0.64","13"
"pop, Folk/Acoustic","0.75","0.55","8"
"metal","0.75","0.47","9"
"latin","0.75","0.73","15"
"World/Traditional, hip hop","0.75","0.81","2"
"set()","0.74","0.74","22"
"Folk/Acoustic, pop","0.74","0.56","2"
"rock, pop, metal, Dance/Electronic","0.73","0.51","1"
"rock, R&B, Folk/Acoustic, pop","0.73","0.79","1"
"country","0.73","0.58","10"
"rock, blues, latin","0.72","0.69","2"
"pop, R&B, easy listening","0.72","0.71","1"
"pop","0.72","0.65","428"
"hip hop, latin, Dance/Electronic","0.71","0.77","1"
"World/Traditional, rock","0.71","0.47","2"
"hip hop, pop","0.7","0.73","277"
"hip hop, Dance/Electronic","0.7","0.77","16"
"pop, country","0.69","0.52","8"
"R&B","0.69","0.66","13"
"hip hop, country","0.68","0.85","1"
"hip hop","0.68","0.72","124"
"rock, pop, Dance/Electronic","0.66","0.66","8"
"rock, Folk/Acoustic, pop","0.66","0.56","1"
"pop, R&B","0.66","0.66","178"
"hip hop, pop, R&B","0.66","0.71","244"
"rock, blues","0.62","0.61","2"
"hip hop, pop, country","0.62","0.64","1"
"hip hop, pop, R&B, latin","0.62","0.74","3"
"hip hop, R&B","0.61","0.69","3"
"rock, classical","0.58","0.59","1"
"hip hop, pop, R&B, Dance/Electronic","0.55","0.63","3"
"Folk/Acoustic, rock, pop","0.49","0.52","1"
"World/Traditional, pop","0.47","0.7","1"
"World/Traditional, Folk/Acoustic","0.25","0.42","1"
"pop, easy listening, jazz","0.23","0.55","2"
