"song","artist","energy","acousticness"
"Come With Me - Radio Edit","Special D.","0.999","0.13"
"American Idiot","Green Day","0.988","0.0000264"
"Get Up (Rattle) - Vocal Edit","Bingo Players","0.985","0.0205"
"All I Ever Wanted - Radio Edit","Basshunter","0.984","0.164"
"Don't Call Me Baby","Madison Avenue","0.982","0.0585"
"Something","Lasgo","0.981","0.0271"
"I Predict A Riot","Kaiser Chiefs","0.979","0.0243"
"Faint","Linkin Park","0.978","0.111"
"Everytime We Touch - Radio Edit","Cascada","0.977","0.00461"
"Bonkers","Dizzee Rascal","0.977","0.00615"
