"genre","max_duration"
"pop","484146"
"Dance/Electronic","452906"
"latin","417920"
"hip hop","404106"
"pop, R&B","366733"
"hip hop, pop, R&B","359973"
"hip hop, Dance/Electronic","353893"
"pop, Dance/Electronic","352173"
"hip hop, R&B","348893"
"pop, latin","347106"
"hip hop, pop","343150"
"rock","334666"
"hip hop, pop, Dance/Electronic","333680"
"metal","321040"
"pop, rock, metal","316733"
"set()","313684"
"pop, rock, Dance/Electronic","310573"
"rock, pop","307879"
"World/Traditional, rock","305080"
"hip hop, pop, rock","304506"
"rock, metal","303920"
"pop, rock","302760"
"easy listening","302146"
"R&B","284733"
"Folk/Acoustic, rock","278666"
"country","276773"
"hip hop, pop, latin","276106"
"hip hop, pop, R&B, Dance/Electronic","275106"
"pop, R&B, Dance/Electronic","273973"
"World/Traditional, rock, pop","273333"
"pop, Folk/Acoustic","269400"
"rock, pop, metal","268693"
"pop, rock, Folk/Acoustic","266600"
"rock, blues","262240"
"rock, blues, latin","261973"
"hip hop, latin, Dance/Electronic","256971"
"hip hop, pop, country","252653"
"pop, easy listening, jazz","252466"
"pop, country","250546"
"pop, R&B, easy listening","250106"
"Folk/Acoustic, rock, pop","245173"
"World/Traditional, hip hop","244666"
"rock, pop, metal, Dance/Electronic","243960"
"Folk/Acoustic, pop","241688"
"hip hop, pop, R&B, latin","239026"
"rock, pop, Dance/Electronic","225882"
"rock, classical","219560"
"pop, easy listening, Dance/Electronic","219240"
"World/Traditional, Folk/Acoustic","218546"
"rock, Folk/Acoustic, easy listening","211893"
"rock, easy listening","211506"
"rock, Folk/Acoustic, pop","203653"
"World/Traditional, pop, Folk/Acoustic","201706"
"hip hop, country","200593"
"rock, Dance/Electronic","200053"
"rock, R&B, Folk/Acoustic, pop","199040"
"hip hop, rock, pop","195200"
"country, latin","166866"
"World/Traditional, pop","151640"
